WEEK,tot_sales,tot_Profit,FULLCUST,tot_sales_change,tot_Profit_change,Cus_Change,NSALE1,NSALE2,NSALE3,NSALE4,NSALE5,NSALE6,NSALE7,Price1,Price1,Price3,Price4,Price5,Price6,Price7
99,47472.58482,9725.969045,2105895,2980.744469,-830.8611682,9861,0.179855341,0,0,0,0,0,0,0.763267641,0.80679077,1.77909149,0.7818937,1.520666707,3.396082118,0.642147745
100,53458.59718,9605.688815,1962490,5986.012352,-120.2802298,-143405,0,0.751630875,0,0.764574718,0,0,0.005420366,0.774938539,0.69,1.781309245,0.782649724,1.522708176,3.397573224,0.643422059
101,43726.2771,9514.009516,1962608,-9732.320076,-91.67929869,118,0,0.624737353,0,0.579578463,0,0,0,0.829370078,0.690010911,1.767345202,0.785136195,1.519860793,3.376917979,0.682382873
102,49022.16739,10689.34819,2054413,5295.89029,1175.338679,91805,0.180168242,0.113033751,0.179394548,0,0,0.73662587,0,0.829662126,0.69657925,1.653775259,0.840772607,1.510595932,3.239226789,0.68224411
103,66119.33081,12844.6735,2020983,17097.16342,2155.325303,-33430,0,0.744808075,0,0,0,0.741356828,0,0.836395813,0.69,1.659021965,0.844442382,1.513069765,3.243506929,0.684695662
104,136868.859,26391.58211,2005664,70749.52824,13546.90862,-15319,0.583556985,0.740427182,0.76651312,0,0,0,0,0.68646713,0.694662301,1.644421354,0.830777103,1.511544682,3.243507811,0.807878898
105,50708.62172,14512.22262,2042842,-86160.23733,-11879.35949,37178,0,0,0.771890976,0,0,0.74360185,0,0.822302712,0.831224336,1.5,0.785095217,1.509331354,3.239986619,0.803371547
106,53196.90463,13725.34337,2039104,2488.282908,-786.8792484,-3738,0.621081925,0.012012276,0.597623455,0,0,0.570777648,0,0.743049263,0.804579376,1.522454113,0.771212565,1.509986367,3.256443139,0.779413648
107,45939.9289,12677.2203,1895518,-7256.975735,-1048.12307,-143586,0,0.741204641,0,0.865865717,0,0,0,0.833994778,0.741767545,1.77739548,0.728324691,1.510717783,3.398473071,0.780932542
108,38992.01197,10758.28653,1981458,-6947.916923,-1918.933776,85940,0,0.860699142,0,0.73384264,0,0,0,0.832630212,0.741422237,1.778312068,0.731358292,1.511166796,3.401033391,0.779369988
109,40928.75443,11443.62887,1935371,1936.742455,685.3423446,-46087,0,0.86507324,0.019479702,0,0.017342199,0,0.040985088,0.829629239,0.725439411,1.709711594,0.785340643,1.505870251,3.417082412,0.815033351
110,58877.05329,14811.17779,2178004,17948.29887,3367.548921,242633,0.004618757,0.479056756,0.524343513,0,0,0,0.26423694,0.788777217,0.678669564,1.5,0.782017427,1.48551618,3.416391575,0.808049481
111,60993.60329,12107.22289,2140019,2116.549993,-2703.954905,-37985,0.926402426,0.886700305,0.849832184,0,0.966067198,0,0.259062514,0.686138391,0.678465811,1.5,0.779717592,1.374776971,3.414484015,0.808768395
112,44540.63024,9581.794578,1877713,-16452.97305,-2525.42831,-262306,0.927471633,0.45015293,0.390353771,0,0.966405792,0.022821047,0,0.695360784,0.677998134,1.5,0.782017427,1.382540394,3.389962143,0.823759975
113,81217.38668,8647.974913,2006472,36676.75644,-933.819665,128759,0,0.980979527,0.980461333,0.006717928,0.017705471,0.943165382,0.005981916,0.830203444,0.589038994,1.5003756,0.767142263,1.477239727,3.288027596,0.812214881
